x	y	Gx	Gy	class	filename
2859	5982	705926	1880010	2	train/P_NCALM_5_00095.tif
10179	4026	709586	1880988	3	train/P_NCALM_5_00096.tif
3301	5208	706147	1880397	2	train/P_NCALM_5_00097.tif
10169	4002	709581	1881000	3	train/P_NCALM_5_00098.tif
9653	3428	709323	1881287	2	train/P_NCALM_5_00099.tif
7295	1838	708144	1882082	2	train/P_NCALM_5_00100.tif
7385	1904	708189	1882049	3	train/P_NCALM_5_00101.tif
11487	4622	710240	1880690	3	train/P_NCALM_5_00102.tif
8651	1748	708822	1882127	3	train/P_NCALM_5_00103.tif
2643	5922	705818	1880040	3	train/P_NCALM_5_00104.tif
8253	2664	708623	1881669	3	train/P_NCALM_5_00105.tif
14879	4500	711936	1880751	3	train/P_NCALM_5_00106.tif
7733	2130	708363	1881936	3	train/P_NCALM_5_00107.tif
14491	4932	711742	1880535	3	train/P_NCALM_5_00108.tif
3891	7052	706442	1879475	3	train/P_NCALM_5_00109.tif
9899	4012	709446	1880995	3	train/P_NCALM_5_00110.tif
1873	4684	705433	1880659	3	train/P_NCALM_5_00111.tif
6189	6176	707591	1879913	3	train/P_NCALM_5_00112.tif
10771	4464	709882	1880769	3	train/P_NCALM_5_00113.tif
3625	4778	706309	1880612	3	train/P_NCALM_5_00114.tif
2883	4306	705938	1880848	3	train/P_NCALM_5_00115.tif
7851	2084	708422	1881959	3	train/P_NCALM_5_00116.tif
8381	3202	708687	1881400	3	train/P_NCALM_5_00117.tif
3237	5274	706115	1880364	3	train/P_NCALM_5_00118.tif
8355	3108	708674	1881447	3	train/P_NCALM_5_00119.tif
5173	3582	707083	1881210	3	train/P_NCALM_5_00120.tif
4293	5504	706643	1880249	3	train/P_NCALM_5_00121.tif
10719	5106	709856	1880448	3	train/P_NCALM_5_00122.tif
14433	4948	711713	1880527	3	train/P_NCALM_5_00123.tif
8127	3018	708560	1881492	3	train/P_NCALM_5_00124.tif
5581	4138	707287	1880932	3	train/P_NCALM_5_00125.tif
11219	5018	710106	1880492	2	train/P_NCALM_5_00126.tif
8233	1360	708613	1882321	3	train/P_NCALM_5_00127.tif
4297	5194	706645	1880404	3	train/P_NCALM_5_00128.tif
2037	5672	705515	1880165	3	train/P_NCALM_5_00129.tif
8233	2486	708613	1881758	3	train/P_NCALM_5_00130.tif
9445	3094	709219	1881454	3	train/P_NCALM_5_00131.tif
9511	3022	709252	1881490	3	train/P_NCALM_5_00132.tif
6479	5890	707736	1880056	3	train/P_NCALM_5_00133.tif
8259	2680	708626	1881661	3	train/P_NCALM_5_00134.tif
9929	4560	709461	1880721	2	train/P_NCALM_5_00135.tif
4297	4284	706645	1880859	2	train/P_NCALM_5_00136.tif
8273	1218	708633	1882392	2	train/P_NCALM_5_00137.tif
3009	5946	706001	1880028	2	train/P_NCALM_5_00138.tif
8707	2658	708850	1881672	3	train/P_NCALM_5_00139.tif
8263	3128	708628	1881437	3	train/P_NCALM_5_00140.tif
7269	1958	708131	1882022	3	train/P_NCALM_5_00141.tif
7021	5598	708007	1880202	3	train/P_NCALM_5_00142.tif
4241	5214	706617	1880394	3	train/P_NCALM_5_00143.tif
5879	3760	707436	1881121	3	train/P_NCALM_5_00144.tif
5733	6382	707363	1879810	3	train/P_NCALM_5_00145.tif
7381	1832	708187	1882085	3	train/P_NCALM_5_00146.tif
9423	2530	709208	1881736	3	train/P_NCALM_5_00147.tif
4643	5524	706818	1880239	3	train/P_NCALM_5_00148.tif
10473	4560	709733	1880721	3	train/P_NCALM_5_00149.tif
10031	4478	709512	1880762	3	train/P_NCALM_5_00150.tif
7401	1858	708197	1882072	3	train/P_NCALM_5_00151.tif
6709	5486	707851	1880258	3	train/P_NCALM_5_00152.tif
3419	5258	706206	1880372	3	train/P_NCALM_5_00153.tif
3781	4156	706387	1880923	3	train/P_NCALM_5_00154.tif
4379	6394	706686	1879804	3	train/P_NCALM_5_00155.tif
8697	2626	708845	1881688	3	train/P_NCALM_5_00156.tif
10797	4348	709895	1880827	3	train/P_NCALM_5_00157.tif
11209	5020	710101	1880491	3	train/P_NCALM_5_00158.tif
4183	5220	706588	1880391	3	train/P_NCALM_5_00159.tif
6499	4026	707746	1880988	3	train/P_NCALM_5_00160.tif
4389	4170	706691	1880916	3	train/P_NCALM_5_00161.tif
7931	3076	708462	1881463	3	train/P_NCALM_5_00162.tif
6253	6350	707623	1879826	3	train/P_NCALM_5_00163.tif
6475	4060	707734	1880971	3	train/P_NCALM_5_00164.tif
7241	1956	708117	1882023	3	train/P_NCALM_5_00165.tif
3715	4268	706354	1880867	3	train/P_NCALM_5_00166.tif
8233	2096	708613	1881953	3	train/P_NCALM_5_00167.tif
10371	4388	709682	1880807	3	train/P_NCALM_5_00168.tif
3919	7048	706456	1879477	3	train/P_NCALM_5_00169.tif
3183	3984	706088	1881009	3	train/P_NCALM_5_00170.tif
2431	6006	705712	1879998	3	train/P_NCALM_5_00171.tif
3799	4364	706396	1880819	3	train/P_NCALM_5_00172.tif
3559	5392	706276	1880305	3	train/P_NCALM_5_00173.tif
9539	4074	709266	1880964	3	train/P_NCALM_5_00174.tif
6511	5212	707752	1880395	3	train/P_NCALM_5_00175.tif
6565	5162	707779	1880420	3	train/P_NCALM_5_00176.tif
1441	5176	705217	1880413	3	train/P_NCALM_5_00177.tif
3389	4920	706191	1880541	3	train/P_NCALM_5_00178.tif
4169	5236	706581	1880383	3	train/P_NCALM_5_00179.tif
1969	5882	705481	1880060	3	train/P_NCALM_5_00180.tif
5367	4828	707180	1880587	3	train/P_NCALM_5_00181.tif
4175	5326	706584	1880338	3	train/P_NCALM_5_00182.tif
8599	3114	708796	1881444	3	train/P_NCALM_5_00183.tif
2343	4720	705668	1880641	3	train/P_NCALM_5_00184.tif
8361	3078	708677	1881462	3	train/P_NCALM_5_00185.tif
3217	5246	706105	1880378	3	train/P_NCALM_5_00186.tif
8423	3104	708708	1881449	3	train/P_NCALM_5_00187.tif
2479	7024	705736	1879489	3	train/P_NCALM_5_00188.tif
6511	5884	707752	1880059	3	train/P_NCALM_5_00189.tif
8629	2974	708811	1881514	3	train/P_NCALM_5_00190.tif
10825	4346	709909	1880828	3	train/P_NCALM_5_00191.tif
11209	5004	710101	1880499	3	train/P_NCALM_5_00192.tif
12763	5556	710878	1880223	3	train/P_NCALM_5_00193.tif
9765	3730	709379	1881136	3	train/P_NCALM_5_00194.tif
5821	5664	707407	1880169	3	train/P_NCALM_5_00195.tif
3229	5218	706111	1880392	2	train/P_NCALM_5_00196.tif
12837	5690	710915	1880156	2	train/P_NCALM_5_00197.tif
3791	6066	706392	1879968	2	train/P_NCALM_5_00198.tif
3235	5228	706114	1880387	2	train/P_NCALM_5_00199.tif
7343	1912	708168	1882045	2	train/P_NCALM_5_00200.tif
5617	4074	707305	1880964	3	train/P_NCALM_5_00201.tif
8221	2552	708607	1881725	3	train/P_NCALM_5_00202.tif
1891	5856	705442	1880073	2	train/P_NCALM_5_00203.tif
3527	5396	706260	1880303	2	train/P_NCALM_5_00204.tif
4187	5272	706590	1880365	3	train/P_NCALM_5_00205.tif
3463	4224	706228	1880889	3	train/P_NCALM_5_00206.tif
7369	1812	708181	1882095	3	train/P_NCALM_5_00207.tif
9559	3178	709276	1881412	3	train/P_NCALM_5_00208.tif
3669	4264	706331	1880869	3	train/P_NCALM_5_00209.tif
1131	5526	705062	1880238	3	train/P_NCALM_5_00210.tif
9463	3174	709228	1881414	3	train/P_NCALM_5_00211.tif
5947	6340	707470	1879831	3	train/P_NCALM_5_00212.tif
4183	5246	706588	1880378	2	train/P_NCALM_5_00213.tif
6169	6216	707581	1879893	2	train/P_NCALM_5_00214.tif
3685	4256	706339	1880873	2	train/P_NCALM_5_00215.tif
8173	3014	708583	1881494	2	train/P_NCALM_5_00216.tif
2327	4718	705660	1880642	3	train/P_NCALM_5_00217.tif
5915	6142	707454	1879930	3	train/P_NCALM_5_00218.tif
9671	3442	709332	1881280	3	train/P_NCALM_5_00219.tif
8473	3016	708733	1881493	3	train/P_NCALM_5_00220.tif
4985	5842	706989	1880080	3	train/P_NCALM_5_00221.tif
10013	4468	709503	1880767	3	train/P_NCALM_5_00222.tif
8879	3308	708936	1881347	3	train/P_NCALM_5_00223.tif
4167	5272	706580	1880365	3	train/P_NCALM_5_00224.tif
4197	5220	706595	1880391	3	train/P_NCALM_5_00225.tif
8287	3278	708640	1881362	3	train/P_NCALM_5_00226.tif
3257	5184	706125	1880409	3	train/P_NCALM_5_00227.tif
3303	5202	706148	1880400	3	train/P_NCALM_5_00228.tif
9493	4002	709243	1881000	3	train/P_NCALM_5_00229.tif
2773	5984	705883	1880009	3	train/P_NCALM_5_00230.tif
2215	6220	705604	1879891	3	train/P_NCALM_5_00231.tif
3217	5246	706105	1880378	3	train/P_NCALM_5_00232.tif
5835	5696	707414	1880153	3	train/P_NCALM_5_00233.tif
3897	7064	706445	1879469	3	train/P_NCALM_5_00234.tif
11627	5176	710310	1880413	2	train/P_NCALM_5_00235.tif
3743	6038	706368	1879982	2	train/P_NCALM_5_00236.tif
11441	4658	710217	1880672	2	train/P_NCALM_5_00237.tif
10227	4294	709610	1880854	2	train/P_NCALM_5_00238.tif
6597	5918	707795	1880042	3	train/P_NCALM_5_00239.tif
3231	5222	706112	1880390	3	train/P_NCALM_5_00240.tif
2171	4390	705582	1880806	3	train/P_NCALM_5_00241.tif
10113	4528	709553	1880737	3	train/P_NCALM_5_00242.tif
3293	7352	706143	1879325	3	train/P_NCALM_5_00243.tif
3583	4476	706288	1880763	3	train/P_NCALM_5_00244.tif
7399	1896	708196	1882053	3	train/P_NCALM_5_00245.tif
8987	2426	708990	1881788	3	train/P_NCALM_5_00246.tif
5977	6128	707485	1879937	3	train/P_NCALM_5_00247.tif
10391	4670	709692	1880666	3	train/P_NCALM_5_00248.tif
3887	3712	706440	1881145	3	train/P_NCALM_5_00249.tif
10193	4352	709593	1880825	3	train/P_NCALM_5_00250.tif
10395	4124	709694	1880939	3	train/P_NCALM_5_00251.tif
8597	3156	708795	1881423	3	train/P_NCALM_5_00252.tif
10225	2916	709609	1881543	3	train/P_NCALM_5_00253.tif
9017	2426	709005	1881788	3	train/P_NCALM_5_00254.tif
4239	4048	706616	1880977	3	train/P_NCALM_5_00255.tif
3393	4496	706193	1880753	3	train/P_NCALM_5_00256.tif
5871	7288	707432	1879357	3	train/P_NCALM_5_00257.tif
12311	5498	710652	1880252	3	train/P_NCALM_5_00258.tif
3903	3752	706448	1881125	3	train/P_NCALM_5_00259.tif
2773	4356	705883	1880823	3	train/P_NCALM_5_00260.tif
5941	6086	707467	1879958	3	train/P_NCALM_5_00261.tif
2655	4500	705824	1880751	3	train/P_NCALM_5_00262.tif
6501	5030	707747	1880486	3	train/P_NCALM_5_00263.tif
8491	3276	708742	1881363	2	train/P_NCALM_5_00264.tif
10049	4378	709521	1880812	2	train/P_NCALM_5_00265.tif
3757	4188	706375	1880907	3	train/P_NCALM_5_00266.tif
10207	4040	709600	1880981	3	train/P_NCALM_5_00267.tif
8451	3304	708722	1881349	3	train/P_NCALM_5_00268.tif
7965	3006	708479	1881498	3	train/P_NCALM_5_00269.tif
6009	6034	707501	1879984	3	train/P_NCALM_5_00270.tif
7137	5686	708065	1880158	3	train/P_NCALM_5_00271.tif
9091	2382	709042	1881810	3	train/P_NCALM_5_00272.tif
8643	2954	708818	1881524	3	train/P_NCALM_5_00273.tif
3693	6058	706343	1879972	3	train/P_NCALM_5_00274.tif
4647	5558	706820	1880222	3	train/P_NCALM_5_00275.tif
4011	7202	706502	1879400	3	train/P_NCALM_5_00276.tif
9029	3130	709011	1881436	3	train/P_NCALM_5_00277.tif
4923	5308	706958	1880347	3	train/P_NCALM_5_00278.tif
9537	3360	709265	1881321	3	train/P_NCALM_5_00279.tif
7737	4858	708365	1880572	3	train/P_NCALM_5_00280.tif
11461	5066	710227	1880468	3	train/P_NCALM_5_00281.tif
3279	5194	706136	1880404	3	train/P_NCALM_5_00282.tif
10135	4000	709564	1881001	3	train/P_NCALM_5_00283.tif
1373	5244	705183	1880379	3	train/P_NCALM_5_00284.tif
9499	3996	709246	1881003	3	train/P_NCALM_5_00285.tif
11313	4592	710153	1880705	3	train/P_NCALM_5_00286.tif
2035	5650	705514	1880176	3	train/P_NCALM_5_00287.tif
11529	5146	710261	1880428	3	train/P_NCALM_5_00288.tif
7177	5518	708085	1880242	3	train/P_NCALM_5_00289.tif
9377	4118	709185	1880942	3	train/P_NCALM_5_00290.tif
10217	2924	709605	1881539	3	train/P_NCALM_5_00291.tif
2583	4328	705788	1880837	3	train/P_NCALM_5_00292.tif
3639	4744	706316	1880629	2	train/P_NCALM_5_00293.tif
9667	3436	709330	1881283	3	train/P_NCALM_5_00294.tif
3635	6142	706314	1879930	2	train/P_NCALM_5_00295.tif
3477	6484	706235	1879759	2	train/P_NCALM_5_00296.tif
7407	1880	708200	1882061	2	train/P_NCALM_5_00297.tif
8863	3296	708928	1881353	2	train/P_NCALM_5_00298.tif
3777	6018	706385	1879992	3	train/P_NCALM_5_00299.tif
4097	7248	706545	1879377	2	train/P_NCALM_5_00300.tif
2661	4366	705827	1880818	2	train/P_NCALM_5_00301.tif
3663	6116	706328	1879943	2	train/P_NCALM_5_00302.tif
4207	5222	706600	1880390	3	train/P_NCALM_5_00303.tif
6223	6168	707608	1879917	2	train/P_NCALM_5_00304.tif
9867	3842	709430	1881080	2	train/P_NCALM_5_00305.tif
4655	5546	706824	1880228	2	train/P_NCALM_5_00306.tif
10397	4144	709695	1880929	3	train/P_NCALM_5_00307.tif
8945	2364	708969	1881819	2	train/P_NCALM_5_00308.tif
10599	4506	709796	1880748	2	train/P_NCALM_5_00309.tif
9477	3798	709235	1881102	3	train/P_NCALM_5_00310.tif
3507	5382	706250	1880310	2	train/P_NCALM_5_00311.tif
5965	5972	707479	1880015	2	train/P_NCALM_5_00312.tif
9531	4066	709262	1880968	3	train/P_NCALM_5_00313.tif
3313	4984	706153	1880509	3	train/P_NCALM_5_00314.tif
12863	5542	710928	1880230	3	train/P_NCALM_5_00315.tif
8463	3034	708728	1881484	3	train/P_NCALM_5_00316.tif
8495	3254	708744	1881374	3	train/P_NCALM_5_00317.tif
6559	5180	707776	1880411	3	train/P_NCALM_5_00318.tif
3549	4426	706271	1880788	3	train/P_NCALM_5_00319.tif
1999	5770	705496	1880116	3	train/P_NCALM_5_00320.tif
8431	3310	708712	1881346	3	train/P_NCALM_5_00321.tif
11123	4882	710058	1880560	3	train/P_NCALM_5_00322.tif
1399	5180	705196	1880411	2	train/P_NCALM_5_00323.tif
3183	3964	706088	1881019	2	train/P_NCALM_5_00324.tif
3577	5396	706285	1880303	2	train/P_NCALM_5_00325.tif
2587	4402	705790	1880800	2	train/P_NCALM_5_00326.tif
9919	2890	709456	1881556	2	train/P_NCALM_5_00327.tif
2905	5992	705949	1880005	2	train/P_NCALM_5_00328.tif
4265	5514	706629	1880244	2	train/P_NCALM_5_00329.tif
10659	4380	709826	1880811	2	train/P_NCALM_5_00330.tif
2479	4414	705736	1880794	2	train/P_NCALM_5_00331.tif
11393	4672	710193	1880665	2	train/P_NCALM_5_00332.tif
2241	4372	705617	1880815	2	train/P_NCALM_5_00333.tif
4633	5498	706813	1880252	2	train/P_NCALM_5_00334.tif
4309	4212	706651	1880895	2	train/P_NCALM_5_00335.tif
7367	1910	708180	1882046	2	train/P_NCALM_5_00336.tif
11141	4868	710067	1880567	2	train/P_NCALM_5_00337.tif
5843	5682	707418	1880160	2	train/P_NCALM_5_00338.tif
9939	2866	709466	1881568	2	train/P_NCALM_5_00339.tif
7213	1918	708103	1882042	2	train/P_NCALM_5_00340.tif
11143	4900	710068	1880551	3	train/P_NCALM_5_00341.tif
8429	3330	708711	1881336	3	train/P_NCALM_5_00342.tif
3157	4008	706075	1880997	3	train/P_NCALM_5_00343.tif
3017	5994	706005	1880004	3	train/P_NCALM_5_00344.tif
5869	5698	707431	1880152	2	train/P_NCALM_5_00345.tif
5541	5770	707267	1880116	2	train/P_NCALM_5_00346.tif
4625	5576	706809	1880213	3	train/P_NCALM_5_00347.tif
6507	4040	707750	1880981	2	train/P_NCALM_5_00348.tif
8579	3334	708786	1881334	3	train/P_NCALM_5_00349.tif
7365	1860	708179	1882071	3	train/P_NCALM_5_00350.tif
8119	2996	708556	1881503	3	train/P_NCALM_5_00351.tif
7157	5700	708075	1880151	2	train/P_NCALM_5_00352.tif
3721	4302	706357	1880850	3	train/P_NCALM_5_00353.tif
9751	3716	709372	1881143	2	train/P_NCALM_5_00354.tif
5923	6136	707458	1879933	3	train/P_NCALM_5_00355.tif
14897	4502	711945	1880750	2	train/P_NCALM_5_00356.tif
3121	4056	706057	1880973	2	train/P_NCALM_5_00357.tif
4285	1848	706639	1882077	2	train/P_NCALM_5_00358.tif
2543	4394	705768	1880804	2	train/P_NCALM_5_00359.tif
8347	2752	708670	1881625	2	train/P_NCALM_5_00360.tif
8525	1336	708759	1882333	2	train/P_NCALM_5_00361.tif
8453	3328	708723	1881337	3	train/P_NCALM_5_00362.tif
8891	3082	708942	1881460	2	train/P_NCALM_5_00363.tif
5937	6116	707465	1879943	3	train/P_NCALM_5_00364.tif
2035	5692	705514	1880155	3	train/P_NCALM_5_00365.tif
9395	3002	709194	1881500	2	train/P_NCALM_5_00366.tif
5481	5132	707237	1880435	2	train/P_NCALM_5_00367.tif
7153	5496	708073	1880253	2	train/P_NCALM_5_00368.tif
3711	4462	706352	1880770	3	train/P_NCALM_5_00369.tif
7277	1908	708135	1882047	3	train/P_NCALM_5_00370.tif
7799	2090	708396	1881956	3	train/P_NCALM_5_00371.tif
10757	5112	709875	1880445	3	train/P_NCALM_5_00372.tif
3875	3718	706434	1881142	3	train/P_NCALM_5_00373.tif
9525	2996	709259	1881503	3	train/P_NCALM_5_00374.tif
7383	1882	708188	1882060	2	train/P_NCALM_5_00375.tif
8257	1238	708625	1882382	3	train/P_NCALM_5_00376.tif
3681	4304	706337	1880849	3	train/P_NCALM_5_00377.tif
3289	7326	706141	1879338	3	train/P_NCALM_5_00378.tif
8925	2374	708959	1881814	2	train/P_NCALM_5_00379.tif
7989	2980	708491	1881511	3	train/P_NCALM_5_00380.tif
8757	2712	708875	1881645	3	train/P_NCALM_5_00381.tif
8063	3034	708528	1881484	3	train/P_NCALM_5_00382.tif
2915	7006	705954	1879498	3	train/P_NCALM_5_00383.tif
1401	5154	705197	1880424	3	train/P_NCALM_5_00384.tif
8377	3070	708685	1881466	3	train/P_NCALM_5_00385.tif
3633	4762	706313	1880620	3	train/P_NCALM_5_00386.tif
7727	4848	708360	1880577	3	train/P_NCALM_5_00387.tif
7245	1864	708119	1882069	2	train/P_NCALM_5_00388.tif
8713	2914	708853	1881544	3	train/P_NCALM_5_00389.tif
8385	2594	708689	1881704	3	train/P_NCALM_5_00390.tif
9755	3746	709374	1881128	3	train/P_NCALM_5_00391.tif
2925	5002	705959	1880500	2	train/P_NCALM_5_00392.tif
2803	6004	705898	1879999	3	train/P_NCALM_5_00393.tif
10019	4454	709506	1880774	3	train/P_NCALM_5_00394.tif
2401	4542	705697	1880730	3	train/P_NCALM_5_00395.tif
7413	1886	708203	1882058	3	train/P_NCALM_5_00396.tif
8415	2846	708704	1881578	3	train/P_NCALM_5_00397.tif
5889	5590	707441	1880206	3	train/P_NCALM_5_00398.tif
2365	4682	705679	1880660	2	train/P_NCALM_5_00399.tif
3067	5980	706030	1880011	3	train/P_NCALM_5_00400.tif
3741	4228	706367	1880887	3	train/P_NCALM_5_00401.tif
9541	4060	709267	1880971	3	train/P_NCALM_5_00402.tif
3231	5242	706112	1880380	2	train/P_NCALM_5_00403.tif
4523	6502	706758	1879750	3	train/P_NCALM_5_00404.tif
8059	3002	708526	1881500	3	train/P_NCALM_5_00405.tif
7065	5620	708029	1880191	3	train/P_NCALM_5_00406.tif
8227	2046	708610	1881978	3	train/P_NCALM_5_00407.tif
1941	5814	705467	1880094	3	train/P_NCALM_5_00408.tif
2665	4394	705829	1880804	2	train/P_NCALM_5_00409.tif
8185	2026	708589	1881988	2	train/P_NCALM_5_00410.tif
2621	4430	705807	1880786	2	train/P_NCALM_5_00411.tif
11325	4614	710159	1880694	2	train/P_NCALM_5_00412.tif
5387	4808	707190	1880597	2	train/P_NCALM_5_00413.tif
4239	5510	706616	1880246	3	train/P_NCALM_5_00414.tif
9519	2980	709256	1881511	3	train/P_NCALM_5_00415.tif
2775	5136	705884	1880433	2	train/P_NCALM_5_00416.tif
4267	5238	706630	1880382	2	train/P_NCALM_5_00417.tif
6465	4034	707729	1880984	2	train/P_NCALM_5_00418.tif
5161	3588	707077	1881207	3	train/P_NCALM_5_00419.tif
8379	3304	708686	1881349	3	train/P_NCALM_5_00420.tif
2489	4394	705741	1880804	3	train/P_NCALM_5_00421.tif
6615	5200	707804	1880401	3	train/P_NCALM_5_00422.tif
10841	4358	709917	1880822	3	train/P_NCALM_5_00423.tif
3613	4736	706303	1880633	3	train/P_NCALM_5_00424.tif
3621	4682	706307	1880660	3	train/P_NCALM_5_00425.tif
3767	3596	706380	1881203	3	train/P_NCALM_5_00426.tif
3691	4226	706342	1880888	3	train/P_NCALM_5_00427.tif
7313	1870	708153	1882066	3	train/P_NCALM_5_00428.tif
15676	5777	712335	1880113	0	train/N_NCALM_5_00001.tif
5402	7324	707198	1879339	0	train/N_NCALM_5_00002.tif
10967	3700	709980	1881151	0	train/N_NCALM_5_00003.tif
8489	1032	708741	1882485	0	train/N_NCALM_5_00004.tif
3987	4878	706490	1880562	0	train/N_NCALM_5_00005.tif
8667	4705	708830	1880649	0	train/N_NCALM_5_00006.tif
8062	1115	708528	1882444	0	train/N_NCALM_5_00007.tif
3644	7983	706319	1879010	0	train/N_NCALM_5_00008.tif
